Bankrupt?, ROA(B) before interest and depreciation after tax, Realized Sales Gross Margin, Operating Profit Rate, Non-industry income and expenditure/revenue, Cash flow rate, Interest-bearing debt interest rate, Net Value Per Share (B), Persistent EPS in the Last Four Seasons, Revenue Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Net Value Growth Rate, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Net worth/Assets, Borrowing dependency, Net profit before tax/Paid-in capital, Total Asset Turnover, Accounts Receivable Turnover, Net Worth Turnover Rate (times), Working Capital to Total Assets, Cash/Total Assets, Current Liability to Assets, Total income/Total expense, Current Liability to Current Assets, Net Income to Total Assets, No-credit Interval, Net Income to Stockholder's Equity, Degree of Financial Leverage (DFL)
1,0.40574977247176,0.601457213277793,0.998969203197885,0.302646433889668,0.458143143520965,0.000725072507250725,0.147949938898487,0.16914058806845,0.0175597803893099,0.138736160277171,0.000326977269203033,0.00225896331056689,0.00120775508523532,0.629951302036958,0.0212659243655332,0.792423738549445,0.390284354359258,0.137757333534424,0.0869565217391304,0.00181388412648494,0.0329032258064516,0.67277529248986,0.00409440595228806,0.147308450425486,0.00202161301202566,0.11825047660899,0.716845343217827,0.622878959445127,0.82789021403512,0.0266006307607414
1,0.516730017666899,0.610235085544617,0.998945978205482,0.303556430290771,0.461867257156757,0.000647064706470647,0.182251064009102,0.2089439349532,0.0211443350424248,0.16991790314077,0.0004430401005442,0.00601620587767277,0.00403936682691048,0.635172463390912,0.0125023937843679,0.828823653898479,0.376760019951553,0.168961616770983,0.0644677661169415,0.00128635630446471,0.0254838709677419,0.751110917003808,0.0149477269714099,0.0569628274180797,0.00222560834310179,0.0477752815903248,0.795297136043035,0.623651741728055,0.839969268005573,0.264576819837375
1,0.472295090743616,0.601363524985947,0.998857353483229,0.302035177342951,0.458520587470538,0.00079007900790079,0.177910749652353,0.180580504869056,0.00594400834883616,0.142803344128945,0.000396425314703456,0.0115425536893801,0.00534756022243655,0.629631443404885,0.0212476860084444,0.792484203525108,0.379092920106557,0.148035593092527,0.0149925037481259,0.00149533848011119,0.0133870967741935,0.829501914934622,0.000990944451124824,0.0981620645437837,0.00206007064952466,0.0253464891288078,0.774669696989803,0.623841037589316,0.836774308550174,0.0265547199199004
1,0.457733283366347,0.583541129160121,0.998699747067122,0.303349536022685,0.465705442741753,0.000449044904490449,0.154186507100417,0.193722227474709,0.0143684680188151,0.148602847028696,0.000382425906321948,0.004194058676884,0.00289649114708036,0.63022835303626,0.00957240171805324,0.848535235964567,0.379742687599394,0.147560515798205,0.0899550224887556,0.00196605561360616,0.0280645161290323,0.725754179688242,0.0188506248270314,0.0987146304496934,0.00183135855551016,0.0672496172630687,0.739554525158061,0.622928709143491,0.834697106753341,0.0266966344214761
1,0.522297767546443,0.598783493564335,0.998973131803565,0.303474977757658,0.462746282177097,0.000686068606860686,0.167502422991024,0.212536636097192,0.0296897923378254,0.168411538751224,0.000438947581872957,0.00602244610781246,0.00372744660861623,0.636054985548143,0.00514960012402083,0.893490945369894,0.375025442703033,0.167460975793681,0.175412293853073,0.00144867255739401,0.0401612903225807,0.751822452472965,0.0141609737513009,0.110194845896651,0.00222393003478029,0.0477253717624306,0.79501587263578,0.623520697668313,0.839972745788203,0.0247518480523254
1,0.419133786605279,0.590250652214647,0.998758098416194,0.303115813175443,0.465861452907577,0.000716071607160716,0.15557709325355,0.174435095017491,0.0181042697037071,0.138811478496648,0.000351781925051909,0.0027400850543368,0.000854661398126233,0.630183833098177,0.0142131516792967,0.819572512622064,0.38144818747302,0.137825201719327,0.095952023988006,0.00152780173069705,0.0296774193548387,0.686728646249993,0.00264522564272894,0.13900210638427,0.00186560861496925,0.099521933114496,0.710420495100948,0.622604643368344,0.829938957445841,0.026675365750547
0,0.436158252583115,0.619949840729904,0.998993121473643,0.302814414633032,0.461020105181047,0.000805080508050805,0.158821794277527,0.161482461945731,0.0309148932952191,0.128944791745123,0.000351756970669767,0.00467206030558407,0.00286904216787047,0.629987945370611,0.0244412223346921,0.783898176980984,0.384998982291879,0.127939069451776,0.100449775112444,0.00166171263936372,0.0408064516129032,0.729416462238773,0.0229885979786101,0.115920411679634,0.00212073567022402,0.060765124792415,0.736619097683939,0.623655441812907,0.829979763773696,0.0266222980418273
0,0.559077038385353,0.60171665777829,0.999008951443589,0.303544587044117,0.467023980272263,0.00063006300630063,0.176983692216931,0.22520563486811,0.0425609147420482,0.180462453867591,0.000451050457211694,0.00965738016418045,0.00730454767201464,0.631379022205175,0.00527818054149682,0.891797926051335,0.374219104729994,0.179518889978131,0.218890554722639,0.0013350511803435,0.0462903225806452,0.797005213929915,0.0146159133960059,0.0870418011288855,0.00235999923619977,0.0302011045942807,0.815350392476567,0.623842634519071,0.841459439726482,0.0270305165537491
0,0.5432839017078,0.603612043990256,0.998960768250395,0.303583500568838,0.463142178941983,0.000737073707370737,0.184189456828621,0.218398411647915,0.0266043528895745,0.173156586578293,0.00045272240081519,0.0134988658381721,0.0118230239542251,0.630914987465925,0.00226611586828259,0.941409438582701,0.370253398138601,0.172158962370862,0.154422788605697,0.00130258792975764,0.0295161290322581,0.813737522948239,0.145189217702725,0.0580597284096259,0.00227396029316468,0.021710461445184,0.803647289792132,0.623977216792447,0.840486633095349,0.0268906304546816
0,0.542962685368596,0.599208694273483,0.999000632043326,0.303482953821731,0.470575308455583,0.000672067206720672,0.177447220934642,0.217831143046232,0.0786635812272184,0.176621224674249,0.00044491167920483,0.0114745351808575,0.00751665342045473,0.6321882576951,0.00635424360973563,0.878707258820328,0.374508760118367,0.175657944348088,0.347826086956522,0.00146896208901018,0.0766129032258065,0.825695870708439,0.00877279091527246,0.0945633028255581,0.00226919628305072,0.0254943019553504,0.804194656500343,0.623865043621207,0.840688177069564,0.0272430149466587
0,0.538197976337063,0.61402585796855,0.998978446975956,0.303758973978453,0.464818030078089,0.000549054905490549,0.1829252875985,0.218965680249598,0.015533070163498,0.178579498380658,0.000448555018997522,0.00609732886948871,0.00344921377389777,0.631236900864372,0.00493256367466419,0.896423496689543,0.374179962109944,0.177611039891411,0.0764617691154423,0.00193967922250515,0.0211290322580645,0.75120434292108,0.00205683623704281,0.0320868027606662,0.00233765664888031,0.0471663480130232,0.814110614307489,0.623687197896937,0.841337129150271,0.0269710912232694
0,0.498956046897585,0.623711785987114,0.998975327200857,0.303604528374123,0.465490719072662,0.000703070307030703,0.173865408115966,0.204689420440579,0.0114191508991636,0.172478722602998,0.000455068112736512,0.00862899023715995,0.00512297766526469,0.632095793208312,0.00429239734084754,0.905614172990295,0.373113046123427,0.171525525978433,0.0629685157421289,0.000807523358323273,0.0196774193548387,0.769113889446861,0.0205422288308614,0.0479948129460321,0.00225675154920725,0.0337116016801524,0.804886952966321,0.623723611330741,0.840649731622796,0.0273908578413325
0,0.543390973820868,0.608137909165598,0.999044886630839,0.303434855738379,0.464100047809567,0.000576057605760576,0.169398676836206,0.219343859317387,0.0246381414764735,0.174286359870453,0.000442965237397775,0.00663086854643199,0.00402938537992506,0.632377638662484,0.00873434920982318,0.855337545726638,0.377306898271686,0.173290098785914,0.124437781109445,0.00113418481734349,0.0338709677419355,0.760000221809245,0.0582180014761003,0.0956718995297444,0.0022730499396006,0.0435139896178212,0.803260160615522,0.62357757367742,0.840702415877267,0.0274797246787734
0,0.523689705016329,0.600577984692775,0.998967007800593,0.303491654982538,0.467198443253399,0.000709070907090709,0.171547764527411,0.212914815164981,0.0257119954020902,0.168863448068088,0.000442091834022815,0.0101004365040983,0.00644676707170547,0.640422733935152,0.00515507163114747,0.893430480394232,0.373151070382904,0.167860643993666,0.145427286356822,0.00123766142858592,0.0337096774193548,0.791909626507644,0.0741698566235507,0.0691661659638453,0.00221747957009723,0.0289016723593667,0.794157852517078,0.62377679930008,0.839910496767797,0.0249997401762429
0,0.569837785748702,0.604685855950648,0.999052974936651,0.303566339946135,0.47876668092566,0.00091009100910091,0.180565505035607,0.226434716838423,0.0185882602053935,0.178880771258567,0.000473733990578523,0.0188592235281637,0.01202327673437,0.63167079903015,0.00398325718819249,0.910360673579829,0.373692356900173,0.177920217178192,0.101949025487256,0.00100230286183843,0.0248387096774194,0.802390919116921,0.021194016958275,0.027638023218934,0.00256982247070675,0.0155531326728028,0.819715357306136,0.624946107961257,0.841623679912454,0.0268962866110795
0,0.558755822046148,0.621773159025065,0.999096882882487,0.303461926016447,0.472093471897201,0.000479047904790479,0.174328936833677,0.223787463363903,0.0238214075048777,0.182420727574,0.000469242201793012,0.0113310098876447,0.0070631214230549,0.631097176751003,0.00461156858990142,0.900928137376425,0.373544733304554,0.179828067264912,0.148425787106447,0.00114838748947481,0.0317741935483871,0.7919906610319,0.00376682423167193,0.0533853563563156,0.00228999320679944,0.0258128487067077,0.815418713855725,0.623763813199597,0.841399049949549,0.0268972408952144
0,0.540285882541892,0.60652358782917,0.998996472343194,0.304319473753794,0.462196052775052,0.000523052305230523,0.183852345033922,0.220194762219911,0.00347868173087103,0.176169315357385,0.000458561726236354,0.00621776531118468,0.00434629632171202,0.631239298091807,0.0023974320393219,0.938718747165704,0.372267565530338,0.175167785234899,0.0194902548725637,0.00130867478924249,0.0116129032258065,0.752032218453819,0.0528667007517992,0.0387616550386571,0.00255177144961046,0.0462912301964762,0.810421134587852,0.623324907012137,0.840888957443775,0.0270027988958809
0,0.580919749451255,0.618450828060364,0.999118836855405,0.303558605580973,0.470061984684163,0.000637063706370637,0.189541106569466,0.233052850524723,0.0257573695116233,0.189274685546434,0.000471762594389327,0.016156579854665,0.00738315156702479,0.631059506034164,0.00332394057943261,0.921274601686973,0.372724975004641,0.188288967649499,0.125937031484258,0.00123360352226269,0.027741935483871,0.816363501604604,0.013907170944156,0.0446373780123085,0.00236095053824264,0.0181566375652698,0.826642041201762,0.623824630727491,0.841983321753659,0.0269078077255092
0,0.55864874993308,0.598343879271826,0.998988615131833,0.303522834142098,0.468443169522659,0.000619061906190619,0.175129577346087,0.220005672686017,0.0529818352314836,0.17601867891843,0.000461032210068385,0.0072199462716185,0.00417224483990383,0.632451952712977,0.00835499138237628,0.858663119388094,0.378709322430063,0.175062212502828,0.229385307346327,0.00205532955271728,0.0582258064516129,0.766580251219532,0.0128012850229898,0.0874131414741735,0.00231804533609953,0.0400836626660674,0.806263914593922,0.623338863793946,0.840954675675957,0.0276370493098807
0,0.533647411531667,0.636251603511149,0.999041651308515,0.303467001693584,0.465163600983032,0.00055005500550055,0.176478024524883,0.217452963978444,0.0200553564136304,0.174512314528885,0.000445560493140514,0.0133584606600291,0.00820038253895572,0.631267722359968,0.00325372290464075,0.922514133688061,0.371230845279288,0.173531407887791,0.118440779610195,0.00116461911476774,0.0264516129032258,0.809073201243094,0.0935031388966463,0.0547715959620629,0.00224285848331432,0.0219368610613265,0.802551849429409,0.623762890924634,0.840455976086351,0.02692426375692
